級別,日文名稱,日文拼音,類別,中文意思
N1,解れる,ほぐれる,單字,"心情舒坦、解放"
N1,偽る,いつわる,單字,"偽裝、說謊"
N1,躊躇う,ためらう,單字,"躊躇猶豫"
N1,最も,いとも,單字,"十分、非常"
N1,侮る,あなどる,單字,"輕視"
N1,罵る,ののしる,單字,"罵"
N1,掲げる,かかげる,單字,"實現（目標）"
N1,請け負う,うけおう,單字,"承擔"
N1,掠れる,かすれる,單字,"掠過"
N1,在り來たり,ありきたり,單字,"老套"
N1,,デマ,單字,"謠言"
N1,煩わしい,わずらわしい,單字,"麻煩的、煩瑣的"
N1,些細な,ささいな,單字,"小小的、瑣碎的"
N1,,しなやか,單字,"柔美、優美"
N1,,ぐだぐだ,單字,"隨隨便便"
N1,,つくづく,單字,"深切地（感受）"
N1,端的に,たんてきに,單字,"直率地、開門見山地"
N1,枯渇,こかつ,單字,"乾涸"
N1,克明,こくめい,單字,"認真、細緻"
N1,緊迫,きんぱく,單字,"緊迫"
N1,,もどかしい,單字,"令人著急"
N1,拗れる,こじれる,單字,"惡化"
N1,溺れる,おぼれる,單字,"沈迷、迷戀"
N1,凭れる,もたれる,單字,"憑靠、依靠"
N1,,くつろい,單字,"愜意地"
N1,有耶無耶,うやむや,單字,"含糊"
N1,望ましい,のぞましい,單字,"最好的狀況下"
N1,秘める,ひめる,單字,"刻意隱藏"
N1,,しんなり,單字,"柔軟地"
N1,,やんわり,單字,"委婉地"
N1,,ひんなり,單字,"陰涼、冰冷"
N1,,どっさり,單字,"大量的"
N1,,どんより,單字,"昏暗的"
N1,,ぐったり,單字,"精疲力盡的"
N1,嫌味,いやみ,單字,"挖苦"
N1,潔い,いさぎよい,單字,"乾脆、痛快地"
N1,賑わう,にぎわう,單字,"熱鬧、繁盛"
N1,紛らわしい,まぎらわしい,單字,"容易混淆的"
N1,,もっともらしい,單字,"看似真實的"
N1,,やつれる,單字,"憔悴"
N1,冴える,さえる,單字,"清澈、鮮明"
N1,脆い,もろい,單字,"脆弱、易壞"
N1,諭す,さとす,單字,"說明"
N1,,あやす,單字,"逗、哄"
N1,潜伏,せんぷく,單字,"潛伏"
N1,咄嗟に,とっさに,語彙,"瞬間、反射性地"
N1,項垂れる,うなだれる,語彙,"負面情緒而低著頭"
N1,棚上げ,たなあげ,語彙,"暫時擱置"
N1,何ら,なんら,語彙,"絲毫（接否定）"
N1,誇りに思う,ほこりにおもう,語彙,"感到驕傲"
N1,,Vなり,文法,"緊接V的下個動作"
N1,,～をよそに,文法,"不顧...（非難）"
N1,,～をものともせずに,文法,"不顧、無視（障礙）"
N1,～in先立って,～にさきだって,文法,"在 A 之前先 B（程序上）"
N1,～や否や,～やいなや,文法,"一...馬上就...（後者為非意志）"
N1,,～をもって,文法,"以...、...為止、由於..."
N1,,～いかんだ,文法,"根據..."
N1,,～ならいざしらず,文法,"是...的話情有可原、…暫且不談"
N1,先が思いやられる,さきがおもいやられる,文法,"以後不知道怎麼辦"
N1,,～すら,文法,"別說...連...（程度更低）"
N1,,～たりとも,文法,"即使一點點也不..."
N1,～に足る,～にたる,文法,"值得、具有...的能力"
N1,～に堪える,～にたえる,文法,"經得起"
N1,～に忍びない,～にしのびない,文法,"不忍、捨不得..."
N1,～に恥じない,～にはじない,文法,"不負、不愧對..."
N1,,～するまでのこと,文法,"大不了就..."
N1,,～するんじゃない,文法,"不該…"
N1,,～としている,文法,"認為…（判斷）"
N1,～を禁じ得ない,～をきんじえない,文法,"忍不住..."
N1,,～ならでは,文法,"獨有的"
N1,,～かぎりだ,文法,"極其...、無比地..."
N1,,～極まりない,文法,"極其...、再...不過了"
N1,～の至りだ,～のいたりだ,文法,"至高無上的..."
N1,,といったらなかった,文法,"沒有比這更..."
N1,,～まじき,文法,"（身分、立場）絕不容許"
N1,,～であれ～であれ,文法,"無論是...還是..."
N1,,～もさることながら,文法,"A是如此、B更是…"
N1,,にあって,文法,"處在...狀況下"
N1,,～のをいいことに,文法,"趁著..."
N1,,してからというもの,文法,"自...以來"
N1,,～というもの,文法,"整整..."
N1,,～すべく,文法,"為了…、目的在於…"
N1,,～があってはならない,文法,"不允許"
N1,,～たところで,文法,"就算…（也沒用）"
N1,,～たら最後,文法,"…的話會導致嚴重後果"
N1,,VそばからV,文法,"每次一…就…（負面）"
N1,,～ゆえに,文法,"故、是因為"
N1,,～ばこそ,文法,"就是因為...（強調）"
N1,,～いかんによらず,文法,"無論什麼情況"
N1,,～ものを,文法,"要是…就好了"
N1,,V開く（といて）,文法,"提前做過、先…"
N1,,～にもほどがある,文法,"…也要有個限度"
N1,真剣+N,しんけん+N,文法,"認真（N東西本身）"
N2,縫う,ぬう,單字,"縫"
N2,解く,ほどく,單字,"解消、解除"
N2,驚かれる,おどろかれる,單字,"他人被我嚇到"
N2,驚かされる,おどろかされる,單字,"我被他人嚇到"
N2,陥る,おちいる,單字,"陷入（情況）"
N2,怠る,おこたる,單字,"怠惰、疏忽"
N2,,いっそ,單字,"乾脆"
N2,僅かに,わずかに,單字,"少許"
N2,遂げる,とげる,單字,"達成（目標）"
N2,躓く,つまずく,單字,"踢到絆倒"
N2,見合わせ,みあわせ,單字,"暫時推遲"
N2,揶揄う,からかう,單字,"嘲笑"
N2,,禮句に,單字,"早就…"
N2,,じきに,單字,"不久"
N2,,いまに,單字,"馬上"
N2,疎か,おろそか,單字,"敷衍"
N2,いい加減,いいかげん,單字,"敷衍"
N2,手応え,てごたえ,單字,"把握"
N2,相席,あいせき,單字,"拼桌"
N2,,バックアップ,單字,"後盾、後援"
N2,間柄,あいだがら,單字,"人與人的關係"
N2,見栄え,みばえ,單字,"外觀氣派"
N2,朗らかな,ほがらかな,單字,"爽朗"
N2,慌らしい,あわただしい,單字,"慌慌張張"
N2,,だらしない,單字,"邋遢"
N2,,くだらない,單字,"無聊、沒意義"
N2,,ぐずぐず,單字,"磨磨蹭蹭"
N2,,はきはき,單字,"乾脆、簡潔"
N2,精々,せいぜい,單字,"盡量、頂多"
N2,,しみじみ,單字,"深切地"
N2,近々,ちかぢか,單字,"不久、就近"
N2,,ぎっしり,單字,"滿滿的"
N2,,かろうじて,單字,"勉強、好不容易"
N2,閃いた,ひらめいた,單字,"閃過好點子"
N2,手厚く,てあつく,單字,"周到地"
N2,切り出す,きりだす,單字,"開口"
N2,襲われる,おそわれる,單字,"被襲擊"
N2,語り合う,かたりあう,單字,"交談（生硬）"
N2,堪える,こらえる,單字,"忍住"
N2,背骨,せぼね,單字,"背骨"
N2,実践,じっせん,單字,"實踐"
N2,決着,けっちゃく,單字,"解決（紛爭、爭論）"
N2,次第に,しだいに,單字,"漸漸地"
N2,仕草,しぐさ,單字,"舉止"
N2,定年,ていねん,單字,"退休年齡"
N2,善良,ぜんりょう,單字,"善良"
N2,方言,ほうげん,單字,"方言"
N2,目がなく,めがなく,語彙,"無法抵抗（喜歡）"
N2,,ろくな,語彙,"像樣的事情"
N2,情けない,なさけない,語彙,"令人遺憾的"
N2,張切る,はりきる,語彙,"繃緊、幹勁十足"
N2,,ありふれる,語彙,"平常、平凡"
N2,穏やかな,おだやかな,語彙,"平穩的"
N2,相応しい,ふさわしい,語彙,"適配的"
N2,末に,すえに,語彙,"經過…最後還是"
N2,～に至って,～にいたって,語彙,"至於…"
N2,大凡,おおよそ,語彙,"大概"
N2,威張ってる,いばってる,語彙,"耍威風"
